Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
1762435484149102,39.146343,7.621952,-11.280488,0.992676,0.067871,0.101562
1762435484159216,26.463415,1.890244,-11.890244,0.991211,0.071777,0.102051
1762435484169326,19.695122,18.719513,-8.414635,0.992188,0.076660,0.102051
1762435484179438,-15.792684,8.475610,-10.060976,0.990723,0.078125,0.105469
1762435484189551,-21.280489,0.975610,-9.634147,0.992676,0.078613,0.108398
1762435484199663,-23.658537,10.426829,-12.012196,0.991211,0.079590,0.112793
1762435484209777,-30.670732,16.463415,-12.621951,0.992188,0.079590,0.117188
1762435484219888,-32.560978,18.536587,-10.365854,0.990234,0.080078,0.120117
1762435484230000,-60.304878,-10.914635,-12.500000,0.989746,0.081055,0.123535
1762435484240112,-49.634148,-6.951220,-9.085366,0.989258,0.081543,0.123535
1762435484250224,-48.231709,-8.048780,-6.585366,0.988770,0.079102,0.125000
1762435484260337,-34.329269,-13.963415,-8.414635,0.989258,0.078613,0.124512
1762435484270451,-34.573170,-15.000000,-5.000000,0.989258,0.078125,0.125977
1762435484280561,-47.134148,-16.524391,-1.158537,0.990723,0.077637,0.125977
1762435484290674,-44.390244,1.768293,-1.402439,0.989258,0.076172,0.125977
1762435484300786,-15.548780,0.548781,-1.280488,0.986328,0.073730,0.126953
1762435484310898,-2.378049,-2.743902,-1.890244,0.982422,0.073730,0.127441
1762435484321010,-49.329269,-18.475611,-0.914634,0.982422,0.075684,0.126953
1762435484331123,-62.012196,-28.841465,5.670732,0.980957,0.074219,0.125488
1762435484341234,-30.975611,-26.097561,3.414634,0.981934,0.070801,0.122559
1762435484351347,17.317074,-22.317074,1.097561,0.983887,0.068848,0.121094
1762435484361459,25.060976,-18.902439,5.304878,0.982910,0.070312,0.120605
1762435484371572,0.121951,-20.792683,7.560976,0.983398,0.071289,0.121582
1762435484381684,-38.902439,-37.987804,5.243903,0.983398,0.071777,0.118164
1762435484391796,-18.231709,-41.097561,6.158537,0.985352,0.073242,0.115723
1762435484401909,14.756098,-21.646341,5.365854,0.984863,0.074219,0.111816
1762435484412021,-8.780488,-15.304878,5.304878,0.986816,0.076172,0.111816
1762435484422133,-42.621952,-50.609756,5.487805,0.984375,0.079590,0.112793
1762435484432246,-74.207321,-15.609756,2.378049,0.988281,0.083008,0.111816
1762435484442358,-77.134148,-40.853661,6.768293,0.989258,0.082520,0.113770
1762435484452470,-27.195122,9.634147,3.536585,0.990723,0.081055,0.106934
1762435484462583,-45.365856,3.475610,-2.073171,0.992188,0.079590,0.109375
1762435484472696,-28.658537,-0.609756,-2.134146,0.987793,0.083008,0.106934
1762435484482807,-122.073174,-34.878048,3.292683,0.988770,0.078613,0.109375
1762435484492919,-91.158539,-3.292683,4.085366,0.984863,0.076660,0.105469
1762435484503032,-111.158539,-57.317074,-4.634147,0.989258,0.072754,0.107910
1762435484513144,-14.695123,-30.609756,1.158537,0.993652,0.071289,0.105469
1762435484523256,-21.829269,-9.573171,-3.048780,0.994629,0.068359,0.107910
1762435484533369,7.073171,-25.853659,3.170732,0.999023,0.064941,0.110840
1762435484543481,12.560976,-30.365854,-2.865854,0.994141,0.064941,0.109375
1762435484553593,5.243903,-25.243902,-3.231707,0.998047,0.063965,0.111816
1762435484563705,4.146341,-19.024391,1.707317,0.994629,0.063477,0.106934
1762435484573818,-4.329268,-22.073172,-1.646342,1.001953,0.063965,0.107422
1762435484583932,2.134146,-28.109756,0.243902,1.001953,0.064941,0.102051
1762435484594042,6.646342,18.780489,0.548781,1.008301,0.062500,0.101562
1762435484604155,16.707317,-12.621951,0.000000,1.011230,0.061035,0.102539
1762435484614268,19.024391,25.426830,-0.121951,1.010254,0.062500,0.102539
1762435484624379,42.134148,28.475611,7.987805,1.013184,0.063965,0.106445
1762435484634492,5.182927,-20.670732,-5.304878,1.013184,0.064941,0.103027
1762435484644604,12.439025,-18.719513,-6.219512,1.020020,0.065430,0.104004
1762435484654716,48.231709,5.365854,4.451220,1.020020,0.065918,0.099609
1762435484664829,29.451220,12.195122,-3.170732,1.025879,0.065430,0.100586
1762435484674941,44.939026,-16.463415,-10.670732,1.028809,0.071289,0.096191
1762435484685053,10.182927,37.865856,-4.695122,1.036621,0.072754,0.090332
1762435484695167,53.292683,60.000000,10.304878,1.041504,0.069336,0.082520
1762435484705278,47.804878,91.219513,-0.731707,1.045410,0.068848,0.064453
1762435484715390,79.634148,121.585365,-11.768293,1.050293,0.068848,0.057617
1762435484725502,66.768295,120.365860,-0.548781,1.051270,0.069336,0.049805
1762435484735614,29.268293,89.024391,22.621952,1.060059,0.062988,0.043945
1762435484745728,132.743912,93.536591,12.195122,1.058594,0.056152,0.031250
1762435484755839,230.182938,124.024391,-22.012196,1.058594,0.050293,0.032715
1762435484765951,164.573181,94.756104,-0.304878,1.063477,0.036621,0.036133
1762435484776064,158.719513,122.743904,-2.256098,1.053711,0.028320,0.031250
1762435484786176,143.292679,122.012199,-12.621951,1.047363,0.025391,0.034180
1762435484796288,381.158539,68.658539,19.085367,1.034180,0.032715,0.034180
1762435484806400,418.414642,94.146347,-10.609756,1.020996,0.026855,0.028809
1762435484816513,612.378052,61.829269,-25.853659,1.015137,0.028809,0.032715
1762435484826625,483.170746,43.902439,-3.963415,1.012207,0.030762,0.028320
1762435484836737,70.731712,145.975616,-29.878050,1.011230,0.034668,0.029785
1762435484846850,207.256104,99.329269,-26.707317,1.000000,0.048828,0.044434
1762435484856962,242.621964,66.829269,12.439025,0.973633,0.072266,0.069824
1762435484867074,1472.439087,316.158539,55.304878,0.944336,0.104492,0.093262
1762435484877186,539.451233,-328.109772,99.085365,0.976074,0.148926,0.119629
1762435484887299,-353.109772,-329.146362,-12.195122,0.958984,0.155762,0.113770
1762435484897411,-809.634155,738.963440,-17.439024,1.006836,0.133789,0.099609
1762435484907523,-799.939026,96.341469,-38.475609,1.035645,0.127930,0.082031
1762435484917635,-84.817078,49.817074,-27.012196,1.023438,0.179199,0.038574
1762435484927748,139.085373,143.658539,1.219512,1.045410,0.192871,0.059570
1762435484937860,-1109.329346,-50.914635,23.231709,0.977051,0.150391,0.067871
1762435484947972,-65.609756,-38.719513,6.768293,0.959473,0.120605,0.090820
1762435484958085,20.365854,126.219513,22.378050,0.919922,0.114258,0.085449
1762435484968197,845.670776,209.390244,135.548782,0.901367,0.136230,0.105957
1762435484978309,318.475616,-175.304886,112.621956,0.907227,0.137695,0.137695
1762435484988422,996.219543,-219.451218,150.121948,0.869141,0.129883,0.102051
1762435484998534,635.487793,21.341463,160.243912,0.886719,0.107422,0.096680
1762435485008647,1040.792725,-103.353661,171.707321,0.892578,0.088867,0.102539
1762435485018758,592.073181,-124.817078,196.097565,0.926270,0.149414,0.084473
1762435485028871,-327.987823,-48.292683,171.463425,0.929688,0.119629,0.076660
1762435485038983,503.170746,-110.975609,102.317078,0.955566,0.112793,0.073730
1762435485049095,418.902435,30.487806,80.121956,0.954102,0.132324,0.076660
1762435485059208,-61.036587,23.902439,106.280487,0.976074,0.148438,0.113770
1762435485069320,244.024399,-144.390244,145.365860,0.949707,0.149414,0.117188
1762435485079432,310.365875,-2.073171,186.524399,0.955078,0.151855,0.126465
1762435485089544,123.475616,3.597561,189.085373,0.940430,0.151855,0.130859
1762435485099656,231.463425,-43.475613,170.365860,0.956055,0.172363,0.127930
1762435485109768,208.841461,-9.390244,238.292694,0.967285,0.208008,0.120605
1762435485119883,5.121951,53.414635,288.170746,0.980469,0.217773,0.120605
1762435485129994,115.853661,-88.292686,248.414642,0.998535,0.195312,0.106445
1762435485140106,261.646362,37.317074,208.231705,1.023926,0.199707,0.109863
1762435485150218,-23.048780,90.426834,202.865860,1.046875,0.206055,0.103516
1762435485160330,128.841461,46.280487,249.085373,1.054688,0.197754,0.107422
1762435485170444,14.756098,-20.792683,200.975616,1.041016,0.182129,0.114258
1762435485180555,-146.524399,104.573174,140.000000,1.016113,0.178711,0.107910
1762435485190667,-242.073181,-14.146341,115.182930,1.004883,0.178223,0.125488
